"","AKFIN_SURVEY_YEAR","MAT_SEX","mean_lat","mean_lon","sum_CPUE","chk_lat","chk_lon","mean_weighted_lat","mean_weighted_lon","shrt"
"76",1997,"Mature Female",56.9289213235294,-163.871936176471,54244.7074010331,57.1892319602633,-161.45900499095,57.1892319602633,-161.45900499095,"'97"
"77",1998,"Immature Female",56.9289213235294,-163.871936176471,15709.1002996493,57.4161265758807,-160.477508685351,57.4161265758807,-160.477508685351,"'98"
"78",1998,"Immature Male",56.9289213235294,-163.871936176471,41922.0921192939,57.1301933596023,-161.373593085947,57.1301933596023,-161.373593085947,"'98"
"79",1998,"Legal Male",56.9289213235294,-163.871936176471,16900.2026199438,56.9342567765142,-162.087494175063,56.9342567765142,-162.087494175063,"'98"
"80",1998,"Mature Female",56.9289213235294,-163.871936176471,79014.3982511506,56.9487966573862,-161.340429093395,56.9487966573862,-161.340429093395,"'98"
"81",1999,"Immature Female",56.9129350746269,-163.949999850746,20108.7064617921,57.4790563820005,-161.343339536875,57.4790563820005,-161.343339536875,"'99"
"82",1999,"Immature Male",56.9129350746269,-163.949999850746,27706.3973356182,57.3386705666088,-161.633464436046,57.3386705666088,-161.633464436046,"'99"
"83",1999,"Legal Male",56.9129350746269,-163.949999850746,28636.2728555404,56.5149815221423,-162.639468243128,56.5149815221423,-162.639468243128,"'99"
"84",1999,"Mature Female",56.9129350746269,-163.949999850746,29067.662174196,56.7097752240314,-161.606848036051,56.7097752240314,-161.606848036051,"'99"
"85",2000,"Immature Female",56.9234565185185,-163.898641851852,11613.5967513647,57.4544547032751,-161.500961135837,57.4544547032751,-161.500961135837,"'00"
"86",2000,"Immature Male",56.9278604477612,-163.915671492537,26301.6112095182,57.2307400368645,-161.660918657341,57.2307400368645,-161.660918657341,"'00"
"87",2000,"Legal Male",56.9278604477612,-163.915671492537,20718.5173316567,56.8343362074713,-161.760034058023,56.8343362074713,-161.760034058023,"'00"
"88",2000,"Mature Female",56.9234565185185,-163.898641851852,26734.7823127177,56.7760646517014,-161.440480480253,56.7760646517014,-161.440480480253,"'00"
"89",2001,"Immature Female",56.9289213235294,-163.871936176471,10779.1284627388,57.5098204431573,-161.116517593254,57.5098204431573,-161.116517593254,"'01"
"90",2001,"Immature Male",56.9289213235294,-163.871936176471,29921.3593487162,57.2191836474801,-161.227305265371,57.2191836474801,-161.227305265371,"'01"
"91",2001,"Legal Male",56.9289213235294,-163.871936176471,12830.6986444879,57.1257785920497,-162.026228815636,57.1257785920497,-162.026228815636,"'01"
"92",2001,"Mature Female",56.9289213235294,-163.871936176471,52010.6560437355,57.0182526165317,-161.246902241771,57.0182526165317,-161.246902241771,"'01"
"93",2002,"Immature Female",56.9358022222222,-163.853209777778,43675.3694237544,56.961655653717,-161.183256966047,56.961655653717,-161.183256966047,"'02"
"94",2002,"Immature Male",56.9358022222222,-163.853209777778,56760.0569120211,56.9754444116525,-161.331738932369,56.9754444116525,-161.331738932369,"'02"
"95",2002,"Legal Male",56.9358022222222,-163.853209777778,21394.0409806103,57.0564510669759,-161.960759719084,57.0564510669759,-161.960759719084,"'02"
"96",2002,"Mature Female",56.9358022222222,-163.853209777778,41966.6167320654,56.9554769556505,-161.204902360727,56.9554769556505,-161.204902360727,"'02"
"97",2003,"Immature Female",56.9289213235294,-163.871936176471,33031.6273874001,56.8414560459527,-162.084926133623,56.8414560459527,-162.084926133623,"'03"
"98",2003,"Immature Male",56.9289213235294,-163.871936176471,46920.4106650426,56.9854430188936,-161.99327966951,56.9854430188936,-161.99327966951,"'03"
"99",2003,"Legal Male",56.9289213235294,-163.871936176471,42679.6488993237,57.2165513111159,-162.381843326867,57.2165513111159,-162.381843326867,"'03"
"100",2003,"Mature Female",56.9289213235294,-163.871936176471,70470.192983004,56.9486304676821,-161.639182184839,56.9486304676821,-161.639182184839,"'03"
"101",2004,"Immature Female",56.9289213235294,-163.871936176471,49248.7864178924,57.434327266428,-160.374977590894,57.434327266428,-160.374977590894,"'04"
"102",2004,"Immature Male",56.9289213235294,-163.871936176471,108016.613195202,57.2542273223878,-161.460244205617,57.2542273223878,-161.460244205617,"'04"
"103",2004,"Legal Male",56.9289213235294,-163.871936176471,44818.0297677587,57.1437771906039,-162.951446392128,57.1437771906039,-162.951446392128,"'04"
"104",2004,"Mature Female",56.9289213235294,-163.871936176471,79002.6560328767,57.0204310697223,-161.942945764713,57.0204310697223,-161.942945764713,"'04"
"105",2005,"Immature Female",56.9289213235294,-163.871936176471,58881.4043873211,57.4971163003714,-161.878132123208,57.4971163003714,-161.878132123208,"'05"
"106",2005,"Immature Male",56.9289213235294,-163.871936176471,78517.7675982081,57.4337060432416,-161.948066028751,57.4337060432416,-161.948066028751,"'05"
"107",2005,"Legal Male",56.9289213235294,-163.871936176471,24002.3304389981,57.218214934025,-162.674396308162,57.218214934025,-162.674396308162,"'05"
"108",2005,"Mature Female",56.9289213235294,-163.871936176471,88794.535591516,56.9492299152156,-161.742848985588,56.9492299152156,-161.742848985588,"'05"
"109",2006,"Immature Female",56.9289213235294,-163.871936176471,33171.005837563,57.3025354565077,-160.979458225088,57.3025354565077,-160.979458225088,"'06"
"110",2006,"Immature Male",56.9289213235294,-163.871936176471,52786.6414918123,57.2260278240801,-161.364682335431,57.2260278240801,-161.364682335431,"'06"
"111",2006,"Legal Male",56.9289213235294,-163.871936176471,29447.9225490611,56.7300206587274,-162.739591561324,56.7300206587274,-162.739591561324,"'06"
"112",2006,"Mature Female",56.9289213235294,-163.871936176471,52908.8620910396,56.9887271977078,-161.721732347798,56.9887271977078,-161.721732347798,"'06"
"113",2007,"Immature Female",56.9289213235294,-163.871936176471,9324.70132400939,57.27058680526,-161.82026337209,57.27058680526,-161.82026337209,"'07"
"114",2007,"Immature Male",56.9289213235294,-163.871936176471,43729.764808777,57.0610292687255,-161.933462864619,57.0610292687255,-161.933462864619,"'07"
"115",2007,"Legal Male",56.9289213235294,-163.871936176471,30551.5221236645,56.711375124804,-162.570647960163,56.711375124804,-162.570647960163,"'07"
"116",2007,"Mature Female",56.9289213235294,-163.871936176471,68478.8115039933,57.0327182549483,-161.608823839394,57.0327182549483,-161.608823839394,"'07"
